*
* Connector Definitions
* Module: GA
* Description: Scalar Integer Addition, Scalar Population Count, and Scalar Leading Zero Count
* Revision:
* Date:
* 
ZTA ZTB - IGA .
ZTC ZTD - IPD .
ZTE ZTF - IPC .
ZTG ZTH - ODI .
ZTI ZTJ - ODJ .
ZTK ZTL - IPB .
ZTM ZTN - *** .
ZTO ZTP - *** .
ZTQ ZTR - *** .
ZTS ZTT - *** .
ZTU ZTV - *** .
ZTW ZTX - *** .
ZUA ZUB - *** .
ZUC ZUD - *** .
ZUE ZUF - *** .
ZUG ZUH - *** .
ZUI ZUJ - *** .
ZUK ZUL - *** .
ZUM ZUN - *** .
ZUO ZUP - *** .
ZUQ ZUR - *** .
ZUS ZUT - *** .
ZUU ZUV - *** .
ZUW ZUX - *** .

ZVA ZVB - IDO .
ZVC ZVD - IDP .
ZVE ZVF - ODO .
ZVG ZVH - ODP .
ZVI ZVJ - IBM .
ZVK ZVL - OBM .
ZVM ZVN - OBN .
ZVO ZVP - IBN .
ZVQ ZVR - IBO .
ZVS ZVT - IBP .
ZVU ZVV - OBO .
ZVW ZVX - OBP .
ZWA ZWB - IDM .
ZWC ZWD - ODM .
ZWE ZWF - ODN .
ZWG ZWH - IDN .
ZWI ZWJ - *** .
ZWK ZWL - *** .
ZWM ZWN - *** .
ZWO ZWP - *** .
ZWQ ZWR - *** .
ZWS ZWT - *** .
ZWU ZWV - *** .
ZWW ZWX - *** .
ZXA ZXB - *** .
ZXC ZXD - *** .
ZXE ZXF - *** .
ZXG ZXH - *** .
ZXI ZXJ - *** .
ZXK ZXL - *** .
ZXM ZXN - *** .
ZXO ZXP - *** .
ZXQ ZXR - *** .
ZXS ZXT - *** .
ZXU ZXV - *** .
ZXW ZXX - *** .
