DGXE MAJ 
DGXD maj 
DHXE MBB 
DHXD mbb 
DIXE MBJ 
DIXD mbj 
DJLG TDA 
DJLF tda 
DJLH TDB 
DJLI tdb 
DKAD gbh 
DKAE GBH 
DLAD gch 
DLAE GCH 
DMAD gdh 
DMAE GDH 
DNAD geh 
DNAE GEH 
DOAD gfh 
DOAE GFH 
DPAD ggh 
DPAE GGH 
DQAD ghh 
DQAE GHH 
DRNI HAC 
DRNH hac 
DSNI HAD 
DSNH had 
DTLG TMA 
DTLF tma 
DTLH TMB 
DTLI tmb 
DTLN TMC 
DTLM tmc 
DUKH gag 
DUKI GAG 
DVKH gcg 
DVKI GCG 
DWKH geg 
DWKI GEG 
DXKH ggg 
DXKI GGG 
E1XE KAB 
E1XD kab 
E2XE KAJ 
E2XD kaj 
E3XE KBB 
E3XD kbb 
E4XE KBJ 
E4XD kbj 
E5KH ACB 
E5KI acb 
E6KH ACJ 
E6KI acj 
E7KH ADB 
E7KI adb 
E8KH ADJ 
E8KI adj 
EAPB eja 
EAPC EJA 
ECPB ejb 
ECPC EJB 
EDPB ejc 
EDPC EJC 
EGPB ejd 
EGPC EJD 
EHXE tea 
EHXD TEA 
EIXE teb 
EIXD TEB 
EKII GAB 
EKIH gab 
EKIE GBB 
EKID gbb 
EKIG GCB 
EKIF gcb 
ELII GDB 
ELIH gdb 
ELIE GEB 
ELID geb 
ELIG GFB 
ELIF gfb 
EMII GHB 
EMIH ghb 
EMIE GGB 
EMID ggb 
ENII gaf 
ENIH GAF 
ENIE gbf 
ENID GBF 
ENIG gcf 
ENIF GCF 
EOII gdf 
EOIH GDF 
EOIE gef 
EOID GEF 
EOIG gff 
EOIF GFF 
EQII ggf 
EQIH GGF 
EQIE ghf 
EQID GHF 
ERNI HAE 
ERNH hae 
ESXE haf 
ESXD HAF 
EUBI JAB 
EUBH jab 
EVBI JAJ 
EVBH jaj 
EWBI JBB 
EWBH jbb 
EXBI JBJ 
EXBH jbj 
F1DF GBE 
F1DG gbe 
F2AD GBD 
F2AE gbd 
F3UF DAB 
F3UE dab 
F3UI DAJ 
F3UH daj 
F4UF DBB 
F4UE dbb 
F4UI DBJ 
F4UH dbj 
F5OM LAE 
F5ON lae 
F5OI LAF 
F5OH laf 
F6OM LBE 
F6ON lbe 
F6OI LBF 
F6OH lbf 
F7KH LAD 
F7KI lad 
F8LG TQA 
F8LF tqa 
F8LH TQB 
F8LI tqb 
FALG TQC 
FALF tqc 
FALH TQD 
FALI tqd 
FBLG TQE 
FBLF tqe 
FBLH TQF 
FBLI tqf 
FCLG TQH 
FCLF tqh 
FCLH TQG 
FCLI tqg 
FDOM OAB 
FDON oab 
FDOI OAJ 
FDOH oaj 
FEOM LBD 
FEON lbd 
FGLG HAA 
FGLF haa 
FGLH HBA 
FGLI hba 
FGLN HCA 
FGLM hca 
FGLA HDA 
FGLB hda 
FHPB HAB 
FHPC hab 
FIOM OBB 
FION obb 
FIOI OBJ 
FIOH obj 
FJLG HEA 
FJLF hea 
FJLH HFA 
FJLI hfa 
FJLN HGA 
FJLM hga 
FJLA HHA 
FJLB hha 
FKOM HBB 
FKON hbb 
